Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
332.130000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.150000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.160000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.180000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.190000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.210000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.220000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.240000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.250000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.270000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.280000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.300000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.310000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.330000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.340000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.360000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.370000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.390000,0.080000,77.980000,78.190000,77.710000,0.000000,-17.000000,-693.000000
332.400000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.420000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.430000,0.080000,77.980000,78.200000,77.710000,0.000000,-17.000000,-693.000000
332.450000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.460000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.480000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.500000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.510000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.530000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.540000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.560000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.570000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.590000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.600000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.620000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.630000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.650000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.660000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.680000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.690000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
332.710000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
332.720000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
332.740000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
332.750000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.770000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.780000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.800000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.810000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.830000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.840000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.860000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.870000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.890000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.900000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.920000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.930000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.950000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.960000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.980000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.990000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.010000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.020000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.040000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.050000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
333.070000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
